justify	THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
motivate	THAT ARGUMENT ACTUALLY CONTRADICTS ITSELF	DON'T I AS A NON SMOKER HAVE THE CHOICE NOT HAVE MY HEALTH AFFECTED BY PEOPLE SMOKING
exemplification	WELL IT'S NOT ACTUALLY A ACHOICE	FOR EXAMPLE  IF YOU ARE IN A RESTAURANT WHERE THERE ARE AREAS SPECIFIC FOR SMOKERS AND SPECIFIC FOR NON SMOKERS NOBODY CAN ACTUALLY STOP THE AIR FROM TRAVELLING
explain	WELL IT'S NOT ACTUALLY A ACHOICE	AND IN RESTAURANT IN PUBLIC PLACES THERE ARE CHILDREN THERE ARE TEENAGERS THERE ARE PEOPLE THAT ACTUALLY MIGHT BE MORE SUSCEPTIBLE TO SECONDHAND SMOKE TO
exemplification	IN RESTAURANT IN PUBLIC PLACES THERE ARE CHILDREN THERE ARE TEENAGERS THERE ARE PEOPLE THAT ACTUALLY MIGHT BE MORE SUSCEPTIBLE TO SECONDHAND SMOKE 	FOR EXAMPLE I'M ALLERGIC TO NICOTINE
exemplification	WELL YES BUT NOBODY DRIVES OR INDEED DOES ANY  FARMING WORK IN ENCLOSED PLACES	NOBODY DRIVES INSIDE THIS BUILDING THIS PUBLIC BUILDING
exemplification	WELL YES BUT NOBODY DRIVES OR INDEED DOES ANY  FARMING WORK IN ENCLOSED PLACES	AND FOR EXAMPLE HERE RIGHT NOW TODAY THERE IS NO AIR CONDITIONING
exemplification	FOR EXAMPLE OK I CAN AGREE THAT YOU PROBABLY CAN BAN SOMEBODY FROM SMOKING IN A PARK	FOR EXAMPLE IN OPEN AIR PLACE
exemplification	IN AN AREA NEXT TO SCHOOL PROBABLY  PRODUCTS THAT WILL BE SOLD WILL BE PRODUCTS THAT INTEREST CHILDREN	IT'S LIKE SAYING THAT IF YOU BAN SELLING FOR EXAMPLE I DON'T KNOW FISHING EQUIPMENT NEAR MARINA
justify	SO I DON'T SEE WHAT THE POINT IS TO BE ABLE TO BUY TOBACCO AROUND SCHOOLS	WELL ACTUALLY I THINK THAT TEACHERS ARE NOT ALLOWED TO SMOKE INSIDE SCHOOL
motivate	SO I DON'T SEE WHAT THE POINT IS TO BE ABLE TO BUY TOBACCO AROUND SCHOOLS	IF PEOPLE IF CHILDREN HAVE FREE ACCESS EASY ACCESS TO TOBACCO IT'S MUCH MUCH EASIER FOR THEM TO ACTUALLY START SMOKING AT CHILD OF TWELVE THIRTEEN YEARS OF AGE
explain	I THINK IT'S A MATTER OF PURE PRESSURE	IF WE TAKE PURE PRESSURE IN MIND IF WE KEEP THAT IN MIND THEY MIGHT ACTUALLY SPREAD THE USE OF TOBACCO THE SMOKING TO OTHER CHILDREN
exemplification	IT COULD BE THE BEGINNING OF IMPLEMENTING MORE STRICT REGULATIONS IN SELLING TOBACCO	FOR EXAMPLE WE BOTH SUPPOSED AND PERHAPS  A POINT OF VIEW  WE BOTH SUPPOSED THAT SELLERS $NOISE WILL  ACTUALLY SELL TOBACCO TO TWELVE YEAR OLD CHILDREN OR FIFTEEN YEAR OLD CHILDREN
motivate	I THINK THOSE ARE MEASURES THAT GO TOGETHER STARTING WITH REGULATING TOBACCO	I THINK ITS THE FIRST STEP TO ACTUALLY BANNING IT IN PUBLIC PLACES BANNING  IT WHERE IT CAN HARM WHERE IT CAN CREATE A ROLE MODEL OF SMOKERS THAT CAN BE IMMITATED BY CHILDREN BY TEENAGERS
motivate	I THINK THOSE ARE MEASURES THAT GO TOGETHER STARTING WITH REGULATING TOBACCO	IT'S PROTECTING THEIR HEALTH PRACTICALLY IN THE END
exemplification	I HAVEN'T ACTUALLY SEEN ANY OF THOSE IMPLEMENTED	I HAVE PERSONALLY WALKED INTO A STORE AND SEEN A FOURTEEN YEAR OLD BUYING A PACK OF CIGARETTES
justify	WE DISAGREE WITH THE BAN IN PUBLIC SMOKING	SIMPLY BECAUSE THE CHOICE OF ONE DOES NOT LIMIT WITH WHAT THE OTHER CAN DO
justify	WE DISAGREE WITH THE BAN IN PUBLIC SMOKING	JUST BECAUSE I HAVE NOT ACTUALLY CHOSEN TO SMOKE THAT DOES NOT MEAN THAT I HAVE THE RIGHT TO LIMIT SOMEONE ELSE FROM THE RIGHT TO SMOKE
exemplification	AND EVEN IF WE DON'T LOOK AT IT WE HAD RESTRICTED AREAS	IF YOU DON'T WANT TO BE WITH THE SMOKERS WHEN YOU ARE IN A RESTAURANT THEN YOU WILL SIMPLY GO THE AREA INSIDE WHERE YOU DO NOT HAVE TO SMELL THE SMOKE FROM OTHER PEOPLE
justify	AND THE SAME WAY THIS IS WHAT THE NON SMOKER SHOULD DO FOR THE SMOKER	AND THEREFORE IT'S QUITE  ALTERISTIC TO SAY THAT MY CHOICE AS SOMEONE THAT DOES NOT SMOKE IS MORE IMPORTANT THAN THE CHOICE OF SOMEONE THAT ACTUALLY DOES SMOKE
justify	AIR DOES TRAVEL AND IN THAT SENSE IF THAT IS OUR ARGUMENT FOR BANNING SMOKE WE SHOULD BAN CARS	BECAUSE THEY HAVE A EMISSION
justify	WE SHOULD BAN FARMING	BECAUSE THE CARS THEY ALSO HAVE EMISSIONS  AND THAT IS WHAT IS CAUSING GLOBAL WARMING
justify	THAT'S NOT ACTUALLY THE CASE	BECAUSE OF WHAT WE SEE IN OUR SOCIETY IS THE FACT THAT WE HAVE SMOKERS AND NONSMOKERS
justify	THE CHOICE OF ONE DOES NOT LIMIT THE CHOICE OF THE OTHER	AND THAT IS WHY THE CHOICE TO SMOKE IN PUBLIC PLACES IS EQUALLY IMPORTANT
explain	WHILE THE SMOKER CAN BE OUTSIDE THE RESTAURANT	AND THAT IS HOW THEY THE SMOKER AND THE NON SMOKER WILL NOT INTERMINGLE
exemplification	BECAUSE YOU PROPOSE BANNING SMOKING IN ALL  PUBLIC AREAS	A PUBLIC AREA IS  ME WALKING DOWN THE PAVEMENT WHEN I CANNOT SMOKE
justify	WE'RE IN FAVOR OF LIMITATIONS	BECAUSE LIMITATIONS KEEP OUR SOCIETY SAFE
justify	THAT'S NOT ACTUALLY SOMETHING WE SHOULD DO	BECAUSE IN THAT CASE WE ARE HARMING A WHOLE INDUSTRY
justify	AND WE SEE THE RIGHT OF THE PERSON THAT OWNS A STORE TO SELL TOBACCO AND THEREFORE FEEDS HIS FAMILY WHICH IS MORE IMPORTANT	BECAUSE WE CANNOT HAVE A LIMITED BAN
exemplification	BECAUSE WE CANNOT HAVE A LIMITTED BAN	WE CANNOT SAY OH BECAUSE YOU ARE FIVE METRES AWAY FROM A SCHOOL YOU CANNOT SELL TOBACCO
justify	BECAUSE YOU ARE FIFTEEN METRES AWAY FROM THE SCHOOL YOU CAN SELL TOBACCO AND IT IS OK	BECAUSE NO ONE WILL GET HURT
justify	YOU ARE LIVING IN A WORLD I AM GUESSING WHERE IN SCHOOLS STUDENTS DON'T SMOKE AND TEACHERS DON'T EXIST	BECAUSE THAT'S THE ONLY WAY WE CAN SUPPOSE THAT TOBACCO IS NOT AN IMPORTANT PART OF THEIR MARKET
justify	THEREFORE RESTRICTING IN SUCH A SMALL AREA THEN IT WILL NOT ACTUALLY HAVE ANY POSITIVE EFFECTS	CHILDREN ALSO GO OUT ON A TRIP WITH THEIR FRIENDS THEY COULD BUY TOBACCO THERE
justify	OFFICIALLY WE BELIEVE THAT THE CURRENT POLICIES ARE INCOMPLETE	BECAUSE FOR EXAMPLE HERE IN GREECE WE HAVE SOME BANS ON INDOORS SPECIFICALLY INDOORS AND SUCH PUBLIC SUCH AS RESTAURANTS OR BARS ET CETERA
justify	THAT'S EXACTLY WE SHOULD BAN IT FOR ALL	EXACTLY BECAUSE IT CANNOT BE SEPERATED
motivate	BUT WHAT WE DO CLAIM IS THAT RIGHT NOW IN THE STATUS QUO THE POLICE IS NOT REACTING TO WHEN SUCH INCIDENTS HAPPEN	AND SO EXACTLY WHEN WE HAVE THAT OUT OF FREE FROM THE POLICE WHEN THE LAW IS THERE BUT IT IS NOT BEING IMPLEMENTED THAT IS A VERY BIG PROBLEM FOR THE STATE
justify	AND SO EXACTLY WHEN WE HAVE THAT OUT OF FREE FROM THE POLICE WHEN THE LAW IS THERE BUT IT IS NOT BEING IMPLEMENTED THAT IS A VERY BIG PROBLEM FOR THE STATE	BECAUSE IF A STATE CANNOT IMPLEMENT  IT'S OWN LAWS THEN EVERY INSTANCE SHOULD BE QUESTIONED
justify	BUT IN GENERAL SINCE YOU HAVE THE LAW AND WE TOTALLY ARE IN FAVOUR OF THE LAW	BECAUSE IT SHOULD EXIST THAT'S WHEN IT SHOULD BE IMPLEMENTED AND THE POLICE SHOULD BE THERE TO DO IT'S JOB
explain	WE BELIEVE THAT FIRST OF ALL IT IS NOT ONLY THE OWNER THAT CAN CALL THE POLICE	BECAUSE THE ARE ALL THOSE PASSIVE SMOKERS THERE
justify	WE SHOULD INCENTIVIZE IN SOME WAY IN ACTUALLY ALL THOSE PASSIVE SMOKERS TO ACTUALLY TAKE THAT MAKE THAT EFFORT IN ORDER TO HAVE THE LAW IMPLEMENTED	BECAUSE IT'S NOT ONLY A MATTER OF THE OF THE SMOKER OR THE OWNER OF THE BUSINESS
justify	WHEN IT'S IN A PUBLIC PLACE IT'S  A COMPLETELY DIFFERENT THING	BECAUSE YOU HAVE THIS POSSIBILITY OF ALL THE PEOPLE OVER THERE
cause	AND MANY PEOPLE MAY NOT ACTUALLY WANT TO REACT THEY DON'T WANT TO SEEM BAD	THAT'S EXACTLY WHY WE WANT TO HAVE THAT BAN
justify	THAT'S EXACTLY WHY WE WANT TO HAVE THAT BAN	BECAUSE THEY ARE NOT FORCING THEIR PROBLEM THEIR LACK OF CONCERN TO THE SMOKERS SMOKING
explain	BECAUSE THEY ARE NOT FORCING THEIR PROBLEM THEIR LACK OF CONCERN TO THE SMOKERS SMOKING	BUT THAT DOES NOT MEAN THAT THEY WANT THAT HAPPEN OR THAT THEY LIKE THEY LIKE BEING EXPOSED
justify	WE ARE OPPOSED TO THIS BAN ON SMOKING	BECAUSE FROM OURSIDE WANT IT SOUNDS LIKE IS LIKE A MODERATION IN SMOKING IN PUBLIC PLACES
exemplification	IT'S LIKE WE'RE TAKING ABOUT IMPLEMENTING POLICIES THAT ALREADY EXISTS	THERE ALREADY IS SOME FORM OF REGULATION IN SMOKING IN PUBLIC PLACES BOTH INDOORS AND OUTDOORS
exemplification	ON OPEN PLACES ON THE OTHER HAND YOU CAN ACTUALLY SEPARATE SMOKERS FROM NONSMOKERS	FOR EXAMPLE IN A PARK OR WALKING OUT THE STREET YOU CANNOT SEPARATE THE SMOKERS FROM THE NONSMOKERS
explain	THE POLICE WILL HAVE TO TO BE CALLED BY THE OWNER OF THE RESTAURANT	AND THAT OWNER WILL EITHER HAVE TO BE FINED OR  SEND AWAY THE CLIENT THAT ACTUALLY SMOKES
motivate	THAT OWNER WILL EITHER HAVE TO BE FINED OR SEND AWAY THE CLIENT THAT ACTUALLY SMOKES	AND I DON'T SEE THE OWNERS OF RESTAURANT SENDING AWAY CLIENTS JUST BECAUSE THEY ARE SMOKING
motivate	WHICH ACTUALLY MEANS THAT WE ARE NOT GOING TO ALLOW SOMEONE INSIDE OR OUTSIDE OF THE BUILDINGS IN PUBLIC PLACES TO SMOKE	AND WE BASE THIS PROPOSITION ON THE FACT THAT WE THINK THE SMOKING IS HARMFUL BOTH FOR THE INDIVIDUALS AND FOR THE SOCIETY
justify	AND WE BASE THIS PROPOSITION ON THE FACT THAT WE THINK THE  SMOKING IS HARMFUL BOTH FOR THE INDIVIDUALS AND FOR THE SOCIETY	FOR THE INDIVIDUAL BECAUSE IT'S AS EVERY UNIVERSITY RESEARCH HAS SHOWN HAS MAJOR AN IMPACT ON THE SELF OF THE PERSON AND TO SOCIETY
justify	THE OTHER FACT THERE IS A DIFFERENCE	BECAUSE FROM THE TIME WE BAN SMOKING ON THE ENCLOSED PUBLIC AREAS  AND WHAT THIS MEASURE PROPOSES IS TO EXTEND THAT TO OPEN PUBLIC SPACES
exemplification	THIS IS ACTUALLY VERY BAD AND A VERY BAD MENTALITY THAT IS NOT PREVALENT IN WESTERN SOCIETY	LET ME TAKE IN FRONT OF YOU THE EXAMPLE OF DRUGS WE ALL KNOW AND THE INDIVIDUAL WHO USES DRUGS KNOW THE CONSEQUENCES OF THE SUBSTANCES THEY USE BUT THEY STILL DO
justify	THE SOCIETY US AND THE GOVERNMENT WAS THE EXPRESSION OF THE SOCIETY OF THE PEOPLE HAVE COME FOURTH AND HAVE SAID WE SHOULD STOP THAT	BECAUSE THE PEOPLE CANNOT PROTECT THEMSELVES
justify	SMOKING AND DRUGS CONTRARY TO ALCOHOL AND CARS ARE INCIDENTALLY BAD ARE INCIDENTALLY HARMFUL TO THE PERSON	THERE ARE MANY STUDIES THAT SHOW THAT SOME PORTIONS OF ALCOHOL EVERYDAY CAN ENHANCE YOUR MENTAL CAPABILITIES
justify	YES ONE CAN GO TO A PRIVATE PLACE	BECAUSE THE SOCIETY BELIEVES THAT IN A PRIVATE SPACE OF YOUR HOME YOU CAN DO AS YOU LIKE
cause	BUT WE SHOULD ALSO MAKE THE ENVIRONMENT FOR THE NON SMOKERS	THAT'S WHY WE DO NOT ALLOW AS THE LIBERTARIAN DEMOCRATIC SOCIETY TO SMOKE OUTSIDE
cause	THAT'S WHY WE DO NOT ALLOW AS THE LIBERTARIAN DEMOCRATIC SOCIETY TO SMOKE OUTSIDE	THE MAIN REASON WHY IS THE SECOND HAND SMOKE WHICH IS ALSO PROBLEM EVEN IN THE OPEN PLACES OUTSIDE
exemplification	THE MAIN REASON WHY IS THE SECOND HAND SMOKE WHICH IS ALSO PROBLEM EVEN IN THE OPEN PLACES OUTSIDE	WHEN YOU PASS FOR AN EXAMPLE OUTSIDE THE DOOR OF A BUILDING WHERE TWENTY PEOPLE SMOKE AND YOU TAKE YOUR WALK YOU ARE INSTANTLY GOING TO BREATH SECONDHAND SMOKE
exemplification	WHEN YOU PASS FOR AN EXAMPLE OUTSIDE THE DOOR OF A BUILDING WHERE TWENTY PEOPLE SMOKE AND YOU TAKE YOUR WALK YOU ARE INSTANTLY GOING TO BREATH SECONDHAND SMOKE	IF YOU GO TO AMSTERDAM FOR EXAMPLE  BY ONLY PASSING IN THE STREET YOU ARE GIVEN A SMOKE
cause	BUT IT'S STILL THERE	THAT'S WHY WE SHOULD PASS THE MEASURE FOR THE PUBLIC HEALTH
explain	WE THINK OF THE PRACTICALITIES	WE BASE OUR SOCIETY ON THE FACT THAT THE CITIZENS ARE GOING TO BUY THEMSELVES APPLY AND ADJUST TO THE LAWS PROPOSED BY THE GOVERNMENT
exemplification	WE BASE OUR SOCIETY ON THE FACT THAT THE CITIZENS ARE GOING TO BUY THEMSELVES APPLY AND ADJUST TO THE LAWS PROPOSED BY THE GOVERNMENT	IF WE DIDN'T DO THAT WE COULD ALSO SAY FOR EXAMPLE LET'S STOP PAYING TAXES
justify	IF WE DIDN'T DO THAT WE COULD ALSO SAY FOR EXAMPLE LET'S STOP PAYING TAXES	WE CANNOT CONTROL THE TEN MILLION PEOPLE LIVING IN GREECE IF EVERYONE PAYS THEIR TAXES OR THE SAME IN GERMANY OR THE SAME IN FRANCE
justify	THE PROBLEM WITH THIS IS OF COURSE THAT WE SHOULD HAVE CAMPAIGNS	SINCE WE ALREADY HAVE PEOPLE DYING RIGHT NOW
motivate	THE PROBLEM WITH THIS IS OF COURSE THAT WE SHOULD HAVE CAMPAIGNS	THE PROPOSED MEASURE OF A LONG TERM SOLUTION OF COURSE IT WORKS
motivate	IN FAVOR OF ACTUALLY PROPOSING A BAN ON SMOKING IN GENERAL	BECAUSE WE BELIEVE THAT IT IS ESSENTIAL PASSIVE SMOKING PUTS OTHER PEOPLE IN DANGER
justify	BECAUSE WE BELIEVE THAT IT IS ESSENTIAL PASSIVE SMOKING PUTS OTHER PEOPLE IN DANGER	WE BELIEVE THAT BECAUSE THEY DO NOT HAVE THE FREEDOM OF CHOICE OF WHETHER THEY ARE AROUND THE SMOKERS AROUND THE SMOKE
justify	WE BELIEVE THAT IT IS MORE IMPORTANT TO ENSURE THOSE PEOPLES SAFETY THOSE PEOPLES HEALTH RATHER THAN THE RIGHT OF ANYONE TO SMOKE	BECAUSE OKAY MAYBE THEY HAVE THE RIGHT TO SMOKE THEMSELVES BUT IT DOES NOT MEAN THAT ALL THE OTHER PEOPLE AROUND THAT DON'T HAVE THE RIGHT NOT TO BE PASSIVE SMOKERS
explain	THERE HAS TO BE SOME  LIKE TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
justify	WE BELIEVE THAT IT IS MORE IMPORTANT TO PROTECT THOSE INDIVIDUALS RIGHTS TO PUBLIC HEALTH RATHER THAN THOSE COMPANIES RIGHT TO PROFIT	BECAUSE THAT'S WHAT IT'S ESSENTIALLY IS
justify	BUT THE PROBLEM HERE IS NOT  EXACTLY WITH THE SMOKERS THEMSELVES	BECAUSE OK THEY ARE TAKING A RISK FOR A RISK FOR THEMSELVES
justify	WHEN THOSE PEOPLE CERTAINLY DO NOT HAVE THE CHOICE WHETHER THAT HAPPENS	BECAUSE ESSENTIALLY WHEN YOU HAVE THE SMOKERS BEING IN A PLACE THAT DOESN'T MEAN THAT ALL THE OTHER PEOPLE AROUND ARE NON SMOKERS AND DO NOT WANT TO BE EXPOSED TO SMOKING SHOULD LEAVE THAT'S ABSURD
exemplification	ESPECIALLY HERE IN GREECE THEY ARE NOT IMPLEMENTED THE WAY THEY SHOULD BE	SO YOU CAN SEE IN MANY RESTAURANTS  FOR EXAMPLE PEOPLE SMOKING AROUND EVEN INDOORS WHERE IT IS NOT ALLOWED
exemplification	THE PROBLEM EXACTLY HERE IS HOW OTHERS ARE AFFECTED BY SUCH ACTIONS	SO FOR EXAMPLE WITH DRIVING WE ARE TRYING TO ENSURE THAT THE PEOPLE PEOPLE WHO DRIVE ARE  ACTUALLY RESPONSIBLE AND KNOW HOW TO DRIVE
justify	GENERALLY WHAT WE SEE IS THE TENDENCY OF SMOKERS BEING IRRESPONSIBLE OF SMOKERS EXACTLY	BECAUSE EXACTLY AS  PREVIOUSLY MENTIONED  THAT  EXAMPLE OF PEOPLE SMOKING WHERE THEY SHOULDN'T BE
justify	THAT SIMPLY DOES NOT  THAT DOESN'T SIMPLY MEAN THAT OKAY SMOKING IS FINE AND THE GOVERNMENT SHOULD BE ALLOWING IT	BECAUSE EXACTLY IT IS A PROBLEM HERE IS WHAT HAPPENS TO THE TO THE OUTER THROUGH THE PROCESS SMOKERS WHAT HAPPENS TO EVERYONE THAT IS INVOLVED IN THAT NOT EVERYONE DOES HAVE A CHOICE
justify	OF COURSE SMOKING IN PUBLIC AREAS SHOULD NOT BE ALLOWED AND IT IS NOT ALLOWED ALREADY	SINCE OF COURSE IT HARMS OTHERS
explain	AND THERE ARE PEOPLE THAT HAVE ISSUES WITH ALCOHOL	AND THESE PEOPLE ARE FREE IN THE SOCIETY AND YOU CAN FIND ALCOHOL EVERYWHERE
justify	THE POINT IS NOT WHAT THE GOVERNMENT SHOULD DO	BECAUSE IT HAS THE DUTY TO PROTECT THE PEOPLE
exemplification	MANY THINGS ARE HARMFUL	FOR EXAMPLE SMOKING IN OUTDOOR AREAS YES OK IT'S HAZARDOUS FOR NON SMOKERS BUT SO ARE CARS
motivate	CARS PRODUCE CO2 AND HYDROGEN	AND FOR THAT THEY ARE ALSO POLUTING AND THEY HARM THE HEALTH OF AN INDIVIDUAL
explain	HOWEVER I'M NOT ALLOWING AN INDIVIDUAL TO SMOKE IN PUBLIC AREAS	MEANS THAT AN INDIVIDUAL WHO WILL  BE ONLY ALLOWED TO SMOKE WHERE
justify	THAT'S EVEN WORSE ACTUALLY	BECAUSE IF SOMEONE IS ALLOWED ONLY TO SMOKE INSIDE HIS HOUSE FOR EXAMPLE HIS FAMILY IS GOING TO BREATH IT
justify	YES SMOKING IF SEEING FROM THIS PERSPECTIVE YES SMOKING IS GOOD FOR YOUR HEALTH	BECAUSE IT GIVES YOU WELL YOU DON'T NEED SO MUCH
justify	IT'S NOT JUST SO EASY FOR INDIVIDUAL NOT SMOKING	BECAUSE WELL MAYBE FOR FIRST FOR A SMALL PERIOD OF TIME BE ABLE TO LIMIT ITSELF
motivate	IT'S NOT JUST SO EASY FOR INDIVIDUAL NOT SMOKING	HOWEVER SMOKING IS NOT AS SAID A SITUATION AN INDIVIDUAL CANNOT LIMIT IT LIKE THAT
explain	A SOLUTION THAT WOULD BE APPLIED IN SCHOOLS	THAT EVERY CHILDREN FROM THE MOMENT IT IS ALLOWED TO GO TO SCHOOL WILL LEARN AND WILL COMPREHEND WHY SMOKING IS A BAD HABIT
justify	NOT JUST BANNING IN PUBLIC PLACES	BECAUSE WELL LET'S FACE IT IS NOT GOING TO WORK GOVERNMENT CANNOT CONTROL FIVE SIX MILLION SMOKERS
motivate	THERE ARE ALWAYS PEOPLE THAT ARE GOING TO BREAK THE LAW	ESPECIALLY IN A GREAT COUNTRY WHERE THERE ARE MORE THAN FIFTY PERCENT OF THE POPULATION ARE SMOKERS
justify	I PERSONALLY BELIEVE THAT WE SHOULD PROHIBIT IN EVERY PUBLIC PLACE AND IN HOSPITALS OR  EVEN CAFES BARS YOU KNOW EVERY PUBLIC PLACE THAT SMOKING HARMS PEOPLE	BECAUSE YOU KNOW A LOTS OF DEMONS IN THE LUNGS IN EVERY HUMANS BODY BEGINS FROM SMOKING
motivate	THE GOVERNMENT DO NOT TAKE STRICT MEASURES	AS WE SEE NOW ALREADY THAT PEOPLE DO NOT PAY ATTENTION TO ANY ONE'S SAYS OR MAYBE EXAMPLES
justify	AS WE SEE NOW ALREADY THAT PEOPLE DO NOT PAY ATTENTION TO ANYONE'S HEALTH	BECAUSE YOU KNOW THERE ARE LOT OF CAMPAIGNS THAT ARE ACTUALLY APPROVING SCIENTIFICALLY THAT SMOKING IS NOT ONLY BAD FOR THE INDIVIDUAL BUT FOR THE SOCIETY AS WELL
justify	WHAT SHOULD WE DO EXCEPT FOR BANNING SMOKING IN EVERY PUBLIC PLACE	BECAUSE AS I SAID IT IS HARMFUL FOR EVERYBODYS AND FOR THE PERSON ON ITS OWN
