THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
SO PEOPLE THAT ARE ACTUALLY SMOKERS THEY ARE DOING WITH THEIR COUSIN AND THEY ARE NOT THEY ARE HARMING HARMING THEIRSELVES BUT THEY KNOW THEY ARE DOING IT	IT'S NOT THAT THEY ARE UNAWARE OF THE POSSIBLE DANGERS THAT SMOKING COULD HAVE FOR THEIR HEALTH
HOWEVER IN EVERY PUBLIC PLACE IN EVERY RESTAUTRANT  EVERY AREA THAT  PEOPLE ARE AROUND THERE ARE AREAS FOR SMOKERS AND AREAS FOR NON SMOKERS	NON SMOKERS COULD EASILY AVOIDS SMOKE AND THE POTENTIAL   AND THIS  HAZARDS TO SMOKE AND THEY COULD GO TO THE AREAS THAT ARE NOT FOR SMOKERS
THOSE RULES ARE NOT APPLIED  INTO IN GREECE SPECIFICALLY  IS THE PROBLEM OF  OTHER MECHANISMS THAT ARE RESPONSIBLE FOR APPLYING THIS UH THESE RULES	AND THAT'S NOT THAT HAS NOTHING TO DO  WITH A SMOKERS AND NON SMOKERS
SAME THING THEN IS GOES WITH ALCOHOL	YOU CAN BUY ALCOHOL IN YOU CAN BUY ALCOHOL YOU CAN BUIY ALCOHOL IN THE SUPERMARKET
HOWEVER THERE ARE DANGERS IMPLICATIONS IN PRACTICALLY IN EVERYTHING EVEN DRIVING THAT DOESN'T MEAN THAT THE GOVERNMENT SHOULD BAN DRIVING BECAUSE WELL IT IS DANGEROUS	GOVERNMENT  WILL EVEN  AFFORD  TO  FREE MARKET AND CONSUMER IS RESPONSIBLE FOR HIS OWN HEALTH FOR TAKING IN ACCOUNT THE DANGERS THAT SMOKING COULD HAVE
BUT HAS TO DO WITHIN THE WORLD OF THE  CONSUMER  CONSUMER HOW  DANGEROUS THE SMOKING IS	AND ALLOW HIM TO COMPREHEND HIM TO FULLY UNDERSTAND AND SHOW HIM AND EXPLAIN HIM WHY SMOKING IS BAD BUT YES THAT SOMETHING THAT WE
TO THEM BUYING A PACK OF CIGARETTES  IS THREE DOLLARS FOR EXAMPLE BUT IN REALITY THE EFFECT OF THAT PACK OF CIGARETTE IN SOCIETY IS MUCH WORSE	AND THAT'S WHY WE WANT TO EDUCATE THEM THROUGH CAMPAIGNS THROUGHT LABELS TROUGH ADVERTISEMENT BUT ALSO THROUGH A RADICAL CHANGE AND THAT IS THE BAN ON SMOKING
BECAUSE IF I CANNOT STAY FOR FIVE HOURS AND GO TO WORK JUST BECAUSE I HAVE  TO EARN SOME MONEY THAT IS A SERIOUS PROBLEM THIS IS A SERIOUS PSYCHOLOGICAL PROBLEM AND WE AS A SOCIETY SHOULD DEAL WITH THAT	AND IF THEY'RE SAYING NO WE DON'T CARE ABOUT THAT YOU CAN SMOKE ANYWHERE YOU WANT YOU CAN NEVER REALIZE THAT YOU HAVE A PROBLEM YOU CAN NEVER BE AWARE OF YOUR PROBLEM AND YOU CAN JUST DO WHATEVER YOU WANT THAN THAT IS BEST FOR OUR SOCIETY
BUT THE CASE IS THAT IF WE HAVE A SMOKER THE REASON THAT HE WANTS TO SMOKE  IS BECAUSE OF NICOTINE	IF HE JUST WANTS TO DO IT OUT OF THE HABIT OF DOING THE MOVEMENT MY ANSWER TO THAT IS ADAPTABILITY
BUT WE TOTALLY DISAGREE ON THE MEASURES THAT IS GOING TO BE TAKING IN ORDER TO ACHIEVE THAT SCORE	AND WE SHOULD DISCUSS THE MEASURE HOW AND THE GOVERNMENT HAS COME TO A VERY CLEVER PLAN AND INSTEAD OF SEEING THE MENTALITY IT SAYS BAN EVERYTHING
WE PROPOSE A MEDIUM POSITION	AND A MEDIUM POSITION SAYS THAT OF COUSE WE SHOULD RESPECT THE RIGHTS OF THE NON SMOKERS BUT WE SHOULD ALSO AS A LIBERTARIAN DEMOCRACY RESPECT THE RIGHTS OF THE SMOKERS ALSO SOMETHING YOU DO NOT DO WITH A BAN
THE PRACTICALLY OF THIS IS THAT ONE WHO SMOKES LIKE TWENTY OR TEN CIGARETTES A DAY CAN ONLY SMOKE IN THE THREE OR FIVE HOURS HE IS AT HIS OWN PRIVATE RESIDENCE	SO YOU LIMIT AND SUPRESS THIS MINORITY EITHER TO STAY AT HOME OR TO NOT EVEN SMOKE IN A PUBLIC SPACE THAT'S THE PRACTICAL ISSUE THAT IS GOING TO  ARISE TO THE PEOPLE WHO ARE GOING TO TO APPLY TO THIS LAW EVEN IF THEY APPLIED YOU ARE GOING TO BAN THE SMOKERS TO A SITUATION AND THE SOLITUDE OF THEIR HOME JUST BECAUSE THEY ARE ADDICTED TO SOMETHING
AND AGAIN I'M NOT SAYING THAT THE PEOPLE WHO SMOKE ARE GOING TO BE ONLY IN THEIR HOUSES BECAUSE OF COURSE THEY ARE GOING TO WORK	BUT YOU ARE GOING TO CREATE AN ENVIRONMENT IN WHICH THEY HAVE LEARNT TO SMOKE AND YOU DO NOT RESPECT THEIR RIGHT AND AS LONG AS THEY DO NOT POSE A VERY HARMFUL EFFECT TO THE WHOLE  SOCIETY SOMETHING THAT HAS NOT BEEN PROVEN
SOMEONE WHO IS A SMOKER AND HAS WORK AND WANTS TO CONTINUE TO PARTICIPATE IN THE PUBLIC LIFE YOU MAKE HIM TO CHOOSE BETWEEN SPENDING MORE OF HIS LIFE WITH SEEING MORE PEOPLE WITH WORKING WITH INTERACTING WITH BEING AND PARTICIPATING IN THE GOVERNMENT	ON THE OTHER HAND A TIME OF SOLITUDE INSIDE HIS HOME AND YOU MINIMIZE THUS THE HOURS OF THE SMOKER FROM THE PUBLIC AREA THUS LIMITING HIMSELF AND YOU DO THAT DELIBERATELY TO HARM HIM
BUT THE PROBLEM IS WHY DON'T THEY DO IT	IF IT WAS SO EASY IF IT WAS SUCH AN EASY CHOICE JUST TO HAVE JUST A CIGARETTE IN YOUR HAND WHY WOULDN'T YOU DO THAT AND PAY EXTREME AMOUNT OF MONEY IN ORDER TO SMOKE
IT'S NOT AN EASY CHOICE AND THE FACT IS THAT YOU ARE GOING TO LIMIT THIS PEOPLE DELIBERATELY TO THEIR HOMES	WHEN YOU DO NOT HAVE AN ACTUAL SCIENTIFIC RESEARCH SAYING THAT IT IS HARMFUL SO HARMFUL SECOND HAND SMOKE IN OPEN PLACES NOT IN ENCLOSED SPACES AND AGAIN WE SHOULD NOT SEE EVERYTHING AS BLACK AND WHITE
THE GOVERNMENT SHOULD RESPECT THE PEOPLE AND THE SITUATION OF THE PEOPLE WHO DO NOT HAVE SUCH A STRONG WILL UP TO THE POINT THAT THEY DO NOT HARM ON A VERY BIG DEGREE THE OTHER PEOPLE	AND AGAIN IF IT WAS SUCH AN EASY THING TO STOP FROM SMOKING WHY DOESN'T THAT THIRTY PERCENT OF THE PEOPLE WHO SMOKE HASN'T STOPPED
SO WE'RE HERE TO DISCUSS ABOUT THE ISSUE OF BANNING SMOKING IN PUBLIC PLACES	I PERSONALLY BELIEVE THAT  WE SHOULD TAKE THIS STRICT MEASURE IN ORDER  TO REALLY CONVINCE PEOPLE THAT THIS  SORT OF ACTION IT'S ACTUALLY ILLEGAL AND THEY SHOULD REALLY BE CONVINCED IN A HARD WAY MAYBE BUT I THINK IT WILL HAVE EFFECT TO QUIT FROM SMOKING
BUT WE'VE SEEN MANY CAMPAIGN WE'VE SEEN MANY POSTERS HELPING PEOPLE QUIT FROM SMOKING BUT THEY ARE ACTUALLY INEFFECTIVE	SO WHY DON'T WE  TAKE A STRICT MEASURE SUCH AS  BANNING SMOKING FROM EVERY PUBLIC PLACE IN ORDER TO REALLY MAKE THEM REALIZE THAT THE ACTION IS WRONG AND NOT ONLY FOR THEMSELVES AS INDIVIDUALS  BUT FOR THE COMMUNITY AND THE MAJORITY OF THE PEOPLE AS WELL
WHY DO YOU THINK THAT WE CONSIDER SOMEONE TO BE A CRIMINAL WE NEVER SAID THAT WE JUST SAID THAT AS FAR AS SMOKERS DO NOT REALLY RESPECT THE NON SMOKERS WE REALLY FEEL LIKE WE HAVE TO FORCE THEM INTO REALIZING WHAT THEIR ACTION CAUSES THE DANGERS THAT ARE IN STAKE AND GENERALLY MAKE THEM REALIZE THAT WHAT YOU'RE DOING IS WRONG LIKE THERE HAS TO BE A STRONG MEASURE	WHAT YOU SAID THAT CAMPAIGNS ARE NOT YOU KNOW EFFECTIVE ENOUGH BECAUSE IT'S NOT PUTTING VERY MUCH WORK IN IT
YES BUT TAKING INTO CONSIDERATION THAT NOTHING REALLY GOES YOU KNOW THE WAY WE WANT NOTHING REALLY MAKE THEM REALIZE WHAT THEIR OPTIONS THE WAY WE WANT AND NOTHING MAKE THEM REALISE WHAT THEIR ACTION IS	IT'S THE ONLY THING IT'S THE ONLY MEASURE THAT WILL HELP US YOU KNOW ACHIEVE OUR GOAL LIKE WE HAVE TO STOP EMISSIONS
THERE HAVE BEEN CAMPAIGNS THERE HAS BEEN DONE ANYTHING POSSIBLE TO CONVINCE THEM ABOUT WHAT WE ARE TALKING ABOUT BUT APPARENTLY THEY HAVE NOT BEEN CONVINCED NOT ONLY THAT BUT THEY ARE ACTUALLY BEING AN EXAMPLE TO EVERYBODY ELSE	THEY ARE REALLY WITH THEIR ACTION THEY'RE ACTUALLY TELLING TO PEOPLE THAT WHAT WE'RE DOING OUR CHOICE IS NOT ACTUALLY WRONG IT'S ACTUALLY SOMETHING THAT IT'S OUR CHOICE AND WE'RE HAVING FUN OF IT AND WE DON'T REALLY CARE ABOUT OTHER PEOPLE WE DON'T RESPECT ANYBODY
WE BELIEVE THAT THERE ARE MANY WAYS THAT ARE FIRST OF ALL ACTUALLY HAVE BETTER RESULTS AND SECONDLY THAT ARE NOT OF SUCH EXTREME NATURE SUCH AS BANNING	WE BELIEVE FOR EXAMPLE THAT MANY CAMPAIGNS EVEN AGGRESSIVE CAMPAIGNS BUT CAMPAIGNS THAT ARE INFORMATIONAL EDUCATIONAL CAN ACTUALLY CHANGE THE MENTALITY OF THE PEOPLE INSTEAD OF A SIMPLE BAN
WELL THE PROBLEM WITH THE CAMPAIGNS HERE IN GREECE IS THAT THEY HAVE NOT BEEN TRYING HARD ENOUGH	WE BELIEVE THAT MORE ACTIVE CAMPAIGNS CAMPAIGNS THAT ACTUALLY SET OUT TO SHOW IN PRACTIAL WAYS WHAT THE NEGATIVE WAYS ARE
BECAUSE WHAT IT ESSENTIAL CREATES IS HAVING THE STATE APPEAR AS AN ENEMY TO THE SMOKER IT'S NOT TRYING TO UNDERSTAND THE SMOKER IT'S NOT TRYING TO HELP THE SMOKER BUT INSTEAD IT'S MAKING HIM A CRIMINAL FOR SMOKING IN PUBLIC PLACES	AND WE DO NOT SEE HOW MAKING THOSE PEOPLE WHO DO HAVE A PROBLEM OF ADDICTION ACTUALLY  BEING FACED AS CRIMINALS INSTEAD OF ACTUALLY HAVING HELP PROVIDED TO THEM AND MAKE THEM UNDERSTAND WHAT THE REAL PROBLEM IS
HOWEVER WE DO NOT BELIEVE THAT A LAW WOULD IN FACT DO SO	WE HAVE SEEN AFFORDS TO IMPLEMENT SUCH LAWS
WELL WE BELIEVE THAT CAMPAINGS ARE CERTAINLY ARE A BIG PART BUT THERE IS ALSO ANOTHER EDUCATIONAL PART THAT WE DON'T HAVE MENTIONED THAT MUCH	I MEAN MENTALITY IS REALLY SHAPED WHEN THE PERSON IS YOUNGER SO WE BELIEVE THAT IT IS ALSO REALLY ESSENTIAL TO FOCUS ON HOW THE CHILDREN ARE TAUGHT ABOUT SMOKING
BECAUSE WHEN YOU HAVE ALL THOSE PARENTS AND ALL THOSE TEACHERS AND ALL THOSE PEOPLE THOSE ADULTS SURROUNDING THEM THAT DO SMOKE AND DO NOTHING MAKING THEM UNDERSTAND HOW BAD IT IS FOR THE HEALTH THEY MAY SEE THE STATISTICS THEY MAY KNOW IT GENERALLY CAUSES CANCER IF THEY HAVE SEEN THOSE FIGURES ACTUALLY IGNORING THE LAWS IGNORING THE HEALTH EFFECTS THAT IS NOT HELPFUL FOR THEM	SO WE BELIEVE THAT THROUGH EDUCATION THROUGH SCHOOLS AND ALL THAT IT IS ESSENTIAL THAT WE TACKLE THE PROBLEM
SINCE NOT ALL  PEOPLE HAVE CHOSEN TO SMOKE	 NON SMOKERS SHOULDN'T BE  SUBJECTED  SECONDHAND SMOKE TO PASSIVE SMOKING IN PUBLIC AREAS
FOR EXAMPLE  IF YOU ARE IN A RESTAURANT WHERE THERE ARE AREAS SPECIFIC FOR SMOKERS AND SPECIFIC FOR NON SMOKERS   NOBODY CAN ACTUALLY STOP THEIR FROM TRAVELLING	NO MATTER HOW WELL AIR CONDITIONED A PUBLIC PLACE IS A PUBLIC RESTAURANT IS IN THE END YOU WILL GET SECONDHAND SMOKE
FOR EXAMPLE I'M ALLERGIC TO NICOTINE	AND EVEN THE SMALLEST  HINT IN THE AIR WILL PROVOKE AN ALLERGIC REACTION
AND FOR EXAMPLE  HERE RIGHT NOW TODAY  THERE IS NO AIR CONDITIONING	IF SOMEBODY DECIDED TO SMOKE I WOULD PROBABLY HAD AN ALLERGIC REACTION TO IT
BUT ISN'T THIS WHAT THE BAN PROPOSES	BAN IN PUBLIC PLACES  IN CLOSED PLACES AND CLOSED PLACES
BUT SHOULDN'T THERE BE A BAN FOR EXAMPLE IN SELLING  CIGARETTES SELLING  TOBACCO IN PLACES PUBLIC PLACES NEAR SCHOOLS	PUBLIC PLACES WHERE CHILDREN FOR EXAMPLE MIGHT GATHER
WELL WE'RE SUPPOSING THAT THAT PERSON THAT SELLS TOBACCO ONLY MAKES LIVING ON SELLING TOBACCO	IN AN AREA NEXT TO SCHOOL PROBABLY  PRODUCTS THAT WILL BE SOLD WILL BE  PRODUCTS THAT INTEREST CHILDREN
IF PEOPLE IF CHILDREN HAVE FREE ACCESS EASY ACCESS TO TOBACCO IT'S MUCH MUCH EASIER FOR THEM TO ACTUALLY START SMOKING AT CHILD OF TWELVE THIRTEEN YEARS OF AGE	I DON'T THINK THAT THEY DO HAVE THE LIBERTY TO WONDER  FIVE KILOMETERS OR EVEN TWO KILOMETERS AWAY FROM THEIR SCHOOLS TO BUY TOBACCO
IT COULD BE SYMBOLIC THOUGH	IT COULD BE THE BEGINNING OF IMPLEMENTING MORE STRICT REGULATIONS IN SELLING TOBACCO
AND I THINK THAT A BAN IN SMOKING IN PUBLIC PLACES WILL COME WITH MORE MEASURES TAKEN	MORE MEASURES TAKEN CONCERNING THE RESTRICTION OF SELLING TOBACCO
